period,scenario,subscenario,subperiod,East-West Link
1,1,1,1,87.000029
1,1,1,2,65.0
1,1,1,3,100.0
1,1,2,1,87.000029
1,1,2,2,65.0
1,1,2,3,100.0
1,1,3,1,66.999961
1,1,3,2,65.0
1,1,3,3,81.999989
1,1,4,1,66.999961
1,1,4,2,65.0
1,1,4,3,81.999989
1,2,1,1,87.000029
1,2,1,2,12.000029
1,2,1,3,100.0
1,2,2,1,87.000029
1,2,2,2,42.000029
1,2,2,3,100.0
1,2,3,1,66.999961
1,2,3,2,5.0
1,2,3,3,81.999989
1,2,4,1,66.999961
1,2,4,2,21.999961
1,2,4,3,81.999989
1,3,1,1,87.000029
1,3,1,2,12.000029
1,3,1,3,100.0
1,3,2,1,87.000029
1,3,2,2,42.000029
1,3,2,3,100.0
1,3,3,1,66.999961
1,3,3,2,-8.000039
1,3,3,3,81.999989
1,3,4,1,66.999961
1,3,4,2,21.999961
1,3,4,3,81.999989
2,1,1,1,77.0
2,1,1,2,62.0
2,1,1,3,100.0
2,1,2,1,77.0
2,1,2,2,92.0
2,1,2,3,100.0
2,1,3,1,57.00002
2,1,3,2,42.000023
2,1,3,3,100.0
2,1,4,1,57.00002
2,1,4,2,72.000023
2,1,4,3,100.0
2,2,1,1,77.0
2,2,1,2,62.0
2,2,1,3,100.0
2,2,2,1,77.0
2,2,2,2,92.0
2,2,2,3,100.0
2,2,3,1,57.00002
2,2,3,2,42.000023
2,2,3,3,100.0
2,2,4,1,57.00002
2,2,4,2,72.000023
2,2,4,3,100.0
2,3,1,1,77.0
2,3,1,2,62.0
2,3,1,3,100.0
2,3,2,1,77.0
2,3,2,2,92.0
2,3,2,3,100.0
2,3,3,1,57.00002
2,3,3,2,42.000023
2,3,3,3,100.0
2,3,4,1,57.00002
2,3,4,2,72.000023
2,3,4,3,100.0
3,1,1,1,77.0
3,1,1,2,62.0
3,1,1,3,100.0
3,1,2,1,77.0
3,1,2,2,92.0
3,1,2,3,100.0
3,1,3,1,57.00002
3,1,3,2,42.000023
3,1,3,3,100.0
3,1,4,1,57.00002
3,1,4,2,72.000023
3,1,4,3,100.0
3,2,1,1,77.0
3,2,1,2,62.0
3,2,1,3,100.0
3,2,2,1,77.0
3,2,2,2,92.0
3,2,2,3,100.0
3,2,3,1,57.00002
3,2,3,2,42.000023
3,2,3,3,100.0
3,2,4,1,57.00002
3,2,4,2,72.000023
3,2,4,3,100.0
3,3,1,1,77.0
3,3,1,2,62.0
3,3,1,3,100.0
3,3,2,1,77.0
3,3,2,2,92.0
3,3,2,3,100.0
3,3,3,1,57.00002
3,3,3,2,42.000023
3,3,3,3,100.0
3,3,4,1,57.00002
3,3,4,2,72.000023
3,3,4,3,100.0
4,1,1,1,77.0
4,1,1,2,62.0
4,1,1,3,100.0
4,1,2,1,77.0
4,1,2,2,92.0
4,1,2,3,100.0
4,1,3,1,57.00002
4,1,3,2,42.000023
4,1,3,3,100.0
4,1,4,1,57.00002
4,1,4,2,72.000023
4,1,4,3,100.0
4,2,1,1,77.0
4,2,1,2,62.0
4,2,1,3,100.0
4,2,2,1,77.0
4,2,2,2,92.0
4,2,2,3,100.0
4,2,3,1,57.00002
4,2,3,2,42.000023
4,2,3,3,100.0
4,2,4,1,57.00002
4,2,4,2,72.000023
4,2,4,3,100.0
4,3,1,1,77.0
4,3,1,2,62.0
4,3,1,3,100.0
4,3,2,1,77.0
4,3,2,2,92.0
4,3,2,3,100.0
4,3,3,1,57.00002
4,3,3,2,42.000023
4,3,3,3,100.0
4,3,4,1,57.00002
4,3,4,2,72.000023
4,3,4,3,100.0
5,1,1,1,87.000029
5,1,1,2,65.0
5,1,1,3,100.0
5,1,2,1,87.000029
5,1,2,2,65.0
5,1,2,3,100.0
5,1,3,1,66.999961
5,1,3,2,65.0
5,1,3,3,81.999989
5,1,4,1,66.999961
5,1,4,2,65.0
5,1,4,3,81.999989
5,2,1,1,87.000029
5,2,1,2,12.000029
5,2,1,3,100.0
5,2,2,1,87.000029
5,2,2,2,42.000029
5,2,2,3,100.0
5,2,3,1,66.999961
5,2,3,2,-8.000039
5,2,3,3,81.999989
5,2,4,1,66.999961
5,2,4,2,21.999961
5,2,4,3,81.999989
5,3,1,1,87.000029
5,3,1,2,12.000029
5,3,1,3,100.0
5,3,2,1,87.000029
5,3,2,2,42.000029
5,3,2,3,100.0
5,3,3,1,66.999961
5,3,3,2,-8.000039
5,3,3,3,81.999989
5,3,4,1,66.999961
5,3,4,2,21.999961
5,3,4,3,81.999989
6,1,1,1,87.000029
6,1,1,2,65.0
6,1,1,3,100.0
6,1,2,1,87.000029
6,1,2,2,65.0
6,1,2,3,100.0
6,1,3,1,66.999961
6,1,3,2,65.0
6,1,3,3,81.999989
6,1,4,1,66.999961
6,1,4,2,65.0
6,1,4,3,81.999989
6,2,1,1,87.000029
6,2,1,2,12.000029
6,2,1,3,100.0
6,2,2,1,87.000029
6,2,2,2,42.000029
6,2,2,3,100.0
6,2,3,1,66.999961
6,2,3,2,-8.000039
6,2,3,3,81.999989
6,2,4,1,66.999961
6,2,4,2,21.999961
6,2,4,3,81.999989
6,3,1,1,87.000029
6,3,1,2,12.000029
6,3,1,3,100.0
6,3,2,1,87.000029
6,3,2,2,42.000029
6,3,2,3,100.0
6,3,3,1,66.999961
6,3,3,2,-8.000039
6,3,3,3,81.999989
6,3,4,1,66.999961
6,3,4,2,21.999961
6,3,4,3,81.999989
