period,scenario,subscenario,subperiod,Hydro Upstream,Hydro Downstream
5,3,2,2,0.0,0.0
5,3,2,3,0.0,0.0
5,3,3,1,0.0,0.0
5,3,3,2,0.0,3.428571
5,3,3,3,0.0,0.0
5,3,4,1,0.0,0.0
5,3,4,2,0.0,0.0
5,3,4,3,0.0,0.0
6,1,1,1,60.0,60.0
6,1,1,2,140.0,109.142857
6,1,1,3,60.0,60.0
6,1,2,1,60.0,60.0
6,1,2,2,140.0,74.857143
6,1,2,3,60.0,60.0
6,1,3,1,60.0,60.0
6,1,3,2,140.0,132.0
6,1,3,3,60.0,60.0
6,1,4,1,60.0,60.0
6,1,4,2,140.0,97.714285
6,1,4,3,60.0,60.0
6,2,1,1,0.0,0.0
6,2,1,2,60.0,29.142857
6,2,1,3,0.0,0.0
6,2,2,1,0.0,0.0
6,2,2,2,24.000001,0.0
6,2,2,3,0.0,0.0
6,2,3,1,0.0,0.0
6,2,3,2,60.0,52.0
6,2,3,3,0.0,0.0
6,2,4,1,0.0,0.0
6,2,4,2,60.0,17.714285
6,2,4,3,0.0,0.0
6,3,1,1,0.0,0.0
6,3,1,2,0.0,0.0
6,3,1,3,0.0,0.0
6,3,2,1,0.0,0.0
6,3,2,2,0.0,0.0
6,3,2,3,0.0,0.0
6,3,3,1,0.0,0.0
6,3,3,2,0.0,3.428571
6,3,3,3,0.0,0.0
6,3,4,1,0.0,0.0
6,3,4,2,0.0,0.0
6,3,4,3,0.0,0.0
