period,scenario,subscenario,subperiod,Hydro Upstream,Hydro Downstream
5,3,2,2,0.01,0.07
5,3,2,3,0.01,0.07
5,3,3,1,0.01,0.07
5,3,3,2,0.01,0.046
5,3,3,3,0.01,0.07
5,3,4,1,0.01,0.07
5,3,4,2,0.01,0.07
5,3,4,3,0.01,0.07
6,1,1,1,0.08,0.56
6,1,1,2,0.0,0.216
6,1,1,3,0.08,0.56
6,1,2,1,0.08,0.56
6,1,2,2,0.0,0.456
6,1,2,3,0.08,0.56
6,1,3,1,0.08,0.56
6,1,3,2,0.0,0.056
6,1,3,3,0.08,0.56
6,1,4,1,0.08,0.56
6,1,4,2,0.0,0.296
6,1,4,3,0.08,0.56
6,2,1,1,0.06,0.42
6,2,1,2,0.0,0.216
6,2,1,3,0.06,0.42
6,2,2,1,0.06,0.42
6,2,2,2,0.036,0.42
6,2,2,3,0.06,0.42
6,2,3,1,0.06,0.42
6,2,3,2,0.0,0.056
6,2,3,3,0.06,0.42
6,2,4,1,0.06,0.42
6,2,4,2,0.0,0.296
6,2,4,3,0.06,0.42
6,3,1,1,0.01,0.07
6,3,1,2,0.01,0.07
6,3,1,3,0.01,0.07
6,3,2,1,0.01,0.07
6,3,2,2,0.01,0.07
6,3,2,3,0.01,0.07
6,3,3,1,0.01,0.07
6,3,3,2,0.01,0.046
6,3,3,3,0.01,0.07
6,3,4,1,0.01,0.07
6,3,4,2,0.01,0.07
6,3,4,3,0.01,0.07
